Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-c01u02,120,C,01,U02,1,7,120C01U02-1-7,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,1,7,120C05U02-1-7,BH_GALAXY,N/A,
bh-glx-c01u02,120,C,01,U02,1,8,120C01U02-1-8,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,1,8,120C05U02-1-8,BH_GALAXY,N/A,
bh-glx-c01u02,120,C,01,U02,1,11,120C01U02-1-11,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,1,11,120C05U02-1-11,BH_GALAXY,N/A,
bh-glx-c01u02,120,C,01,U02,1,12,120C01U02-1-12,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,1,12,120C05U02-1-12,BH_GALAXY,N/A,
bh-glx-c01u08,120,C,01,U08,2,7,120C01U08-2-7,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,1,7,120C05U08-1-7,BH_GALAXY,N/A,
bh-glx-c01u08,120,C,01,U08,2,8,120C01U08-2-8,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,1,8,120C05U08-1-8,BH_GALAXY,N/A,
bh-glx-c01u08,120,C,01,U08,2,11,120C01U08-2-11,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,1,11,120C05U08-1-11,BH_GALAXY,N/A,
bh-glx-c01u08,120,C,01,U08,2,12,120C01U08-2-12,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,1,12,120C05U08-1-12,BH_GALAXY,N/A,
bh-glx-c02u08,120,C,02,U08,3,7,120C02U08-3-7,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,1,7,120C06U08-1-7,BH_GALAXY,N/A,
bh-glx-c02u08,120,C,02,U08,3,8,120C02U08-3-8,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,1,8,120C06U08-1-8,BH_GALAXY,N/A,
bh-glx-c02u08,120,C,02,U08,3,11,120C02U08-3-11,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,1,11,120C06U08-1-11,BH_GALAXY,N/A,
bh-glx-c02u08,120,C,02,U08,3,12,120C02U08-3-12,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,1,12,120C06U08-1-12,BH_GALAXY,N/A,
bh-glx-c02u02,120,C,02,U02,4,7,120C02U02-4-7,BH_GALAXY,bh-glx-c06u02,120,C,06,U02,1,7,120C06U02-1-7,BH_GALAXY,N/A,
bh-glx-c02u02,120,C,02,U02,4,8,120C02U02-4-8,BH_GALAXY,bh-glx-c06u02,120,C,06,U02,1,8,120C06U02-1-8,BH_GALAXY,N/A,
bh-glx-c02u02,120,C,02,U02,4,11,120C02U02-4-11,BH_GALAXY,bh-glx-c06u02,120,C,06,U02,1,11,120C06U02-1-11,BH_GALAXY,N/A,
bh-glx-c02u02,120,C,02,U02,4,12,120C02U02-4-12,BH_GALAXY,bh-glx-c06u02,120,C,06,U02,1,12,120C06U02-1-12,BH_GALAXY,N/A,
bh-glx-c03u02,120,C,03,U02,1,7,120C03U02-1-7,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,2,7,120C05U02-2-7,BH_GALAXY,N/A,
bh-glx-c03u02,120,C,03,U02,1,8,120C03U02-1-8,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,2,8,120C05U02-2-8,BH_GALAXY,N/A,
bh-glx-c03u02,120,C,03,U02,1,11,120C03U02-1-11,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,2,11,120C05U02-2-11,BH_GALAXY,N/A,
bh-glx-c03u02,120,C,03,U02,1,12,120C03U02-1-12,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,2,12,120C05U02-2-12,BH_GALAXY,N/A,
bh-glx-c03u08,120,C,03,U08,2,7,120C03U08-2-7,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,2,7,120C05U08-2-7,BH_GALAXY,N/A,
bh-glx-c03u08,120,C,03,U08,2,8,120C03U08-2-8,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,2,8,120C05U08-2-8,BH_GALAXY,N/A,
bh-glx-c03u08,120,C,03,U08,2,11,120C03U08-2-11,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,2,11,120C05U08-2-11,BH_GALAXY,N/A,
bh-glx-c03u08,120,C,03,U08,2,12,120C03U08-2-12,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,2,12,120C05U08-2-12,BH_GALAXY,N/A,
bh-glx-c04u08,120,C,04,U08,3,7,120C04U08-3-7,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,2,7,120C06U08-2-7,BH_GALAXY,N/A,
bh-glx-c04u08,120,C,04,U08,3,8,120C04U08-3-8,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,2,8,120C06U08-2-8,BH_GALAXY,N/A,
bh-glx-c04u08,120,C,04,U08,3,11,120C04U08-3-11,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,2,11,120C06U08-2-11,BH_GALAXY,N/A,
bh-glx-c04u08,120,C,04,U08,3,12,120C04U08-3-12,BH_GALAXY,bh-glx-c06u08,120,C,06,U08,2,12,120C06U08-2-12,BH_GALAXY,N/A,
bh-glx-c07u02,120,C,07,U02,1,7,120C07U02-1-7,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,3,7,120C05U02-3-7,BH_GALAXY,N/A,
bh-glx-c07u02,120,C,07,U02,1,8,120C07U02-1-8,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,3,8,120C05U02-3-8,BH_GALAXY,N/A,
bh-glx-c07u02,120,C,07,U02,1,11,120C07U02-1-11,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,3,11,120C05U02-3-11,BH_GALAXY,N/A,
bh-glx-c07u02,120,C,07,U02,1,12,120C07U02-1-12,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,3,12,120C05U02-3-12,BH_GALAXY,N/A,
bh-glx-c09u02,120,C,09,U02,1,7,120C09U02-1-7,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,4,7,120C05U02-4-7,BH_GALAXY,N/A,
bh-glx-c09u02,120,C,09,U02,1,8,120C09U02-1-8,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,4,8,120C05U02-4-8,BH_GALAXY,N/A,
bh-glx-c09u02,120,C,09,U02,1,11,120C09U02-1-11,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,4,11,120C05U02-4-11,BH_GALAXY,N/A,
bh-glx-c09u02,120,C,09,U02,1,12,120C09U02-1-12,BH_GALAXY,bh-glx-c05u02,120,C,05,U02,4,12,120C05U02-4-12,BH_GALAXY,N/A,
bh-glx-c07u08,120,C,07,U08,2,7,120C07U08-2-7,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,3,7,120C05U08-3-7,BH_GALAXY,N/A,
bh-glx-c07u08,120,C,07,U08,2,8,120C07U08-2-8,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,3,8,120C05U08-3-8,BH_GALAXY,N/A,
bh-glx-c07u08,120,C,07,U08,2,11,120C07U08-2-11,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,3,11,120C05U08-3-11,BH_GALAXY,N/A,
bh-glx-c07u08,120,C,07,U08,2,12,120C07U08-2-12,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,3,12,120C05U08-3-12,BH_GALAXY,N/A,
bh-glx-c09u08,120,C,09,U08,2,7,120C09U08-2-7,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,4,7,120C05U08-4-7,BH_GALAXY,N/A,
bh-glx-c09u08,120,C,09,U08,2,8,120C09U08-2-8,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,4,8,120C05U08-4-8,BH_GALAXY,N/A,
bh-glx-c09u08,120,C,09,U08,2,11,120C09U08-2-11,BH_GALAXY,bh-glx-c05u08,120,C,05,U08,4,11,120C05U08-4-11,BH_GALAXY,N/A,
